song,song_type,film_name,year,language,lyricist,composer,singer
jaane kahaa.n khoyaa meraa laal,Film song,Jawaahar,1960,Hindi,Prem Dhawan,Salil Chowdhury,Lata
"saanjh bhayee, sun ri sakhi",Film song,Honeymoon,1960,Hindi,Shailendra,Salil Chowdhury,Lata & Usha Mangeshkar
"aha re magan, meraa chanchal man",Film song,Honeymoon,1960,Hindi,Shailendra,Salil Chowdhury,Lata
mere khwaabo.n mei.n khayaalo.n (1) ,Film song,Honeymoon,1960,Hindi,Shailendra,Salil Chowdhury,Lata & Mukesh
mere khwaabo.n mei.n khayaalo.n…(2),Film song,Honeymoon,1960,Hindi,Shailendra,Salil Chowdhury,Lata 
"duniyaa na dekhe, zamaana na jaane",Film song,Honeymoon,1960,Hindi,Shailendra,Salil Chowdhury,Lata & Dwijen Mukherjee
chhuo na chhuo na albele mere sai.nyyaa.n,Film song,Honeymoon,1960,Hindi,Shailendra,Salil Chowdhury,Sabita Banerji & Mukesh
tum jo mile to khilaa hay ghulaab,Film song,Honeymoon,1960,Hindi,Shailendra,Salil Chowdhury,Sabita Banerji
Title music,Film song,Parakh,1960,Hindi,Shailendra,Salil Chowdhury,Not applicable
milaa hai kisi kaa jhumkaa,Film song,Parakh,1960,Hindi,Shailendra,Salil Chowdhury,Lata
kyaa hawaa chali re baabaa rut badli,Film song,Parakh,1960,Hindi,Shailendra,Salil Chowdhury,Manna Dey
"o sajnaa, barkhaa bahaar aayee",Film song,Parakh,1960,Hindi,Shailendra,Salil Chowdhury,Lata
mere man ke diye,Film song,Parakh,1960,Hindi,Shailendra,Salil Chowdhury,Lata & Chorus
"ye bansi kyo.n gaaye, mujhe kyo.n sataaye",Film song,Parakh,1960,Hindi,Shailendra,Salil Chowdhury,Lata
Title music,Film song,Usne Kahaa Tha,1960,Hindi,Not applicable,Salil Chowdhury,Not applicable
"ho chalte hi jaanaa, machalte hi jaanaa",Film song,Usne Kahaa Tha,1960,Hindi,Shailendra,Salil Chowdhury,Manna Dey & Chorus
"machalti aarzoo, khaDi baa.nhei.n passare",Film song,Usne Kahaa Tha,1960,Hindi,Shailendra,Salil Chowdhury,Lata
aha rimjhim ke ye pyaare pyaare geet,Film song,Usne Kahaa Tha,1960,Hindi,Shailendra,Salil Chowdhury,"Lata,Talat Mahmood & Chorus"
