song,song_type,film_name,year,language,lyricist,composer,singer
Biswapitaa tumi he probhu,Film song,Sister,1977,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury & Chorus
Taaire naare naa,Film song,Sister,1977,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury & Chorus
"Hey, himeli himeli raatey",Film song,Sister,1977,Bengali,Salil Chowdhury,Salil Chowdhury,"Manna Dey, Haimanti Shukla & Chorus"
Akmone aarek mon,Film song,Jibon je Rakam,1979,Bengali,Salil Chowdhury,Salil Chowdhury,Anup Ghosal
Jhim dharaano,Film song,Jibon je Rakam,1979,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Ekti sapno,Film song,Jibon je Rakam,1979,Bengali,Salil Chowdhury,Salil Chowdhury,Arati Mukherjee
Tere tum tum tana nana,Film song,Jibon je Rakam,1979,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Kichhu kichhu kathaa aachhe ,Film song,Rupaali Soikate,1979,Bengali,Salil Chowdhury,Salil Chowdhury,Talat Mahmood
Kano je mon amon kamon kare,Film song,Rupaali Soikate,1979,Bengali,Salil Chowdhury,Salil Chowdhury,Lata Mangeshkar & Shyamal Mitra
Phele aashaa din mor,Film song,Rupaali Soikate,1979,Bengali,Alamgir Kabir,Salil Chowdhury,Manna Dey
Chhuk chhuk chhuk chhuk karey railgaari choley jaay,Film song,Srikanter Will,1979,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey & Sabita Chowdhury
O aamaar joto saadh,Film song,Srikanter Will,1979,Bengali,Salil Chowdhury,Salil Chowdhury,Arati Mukherjee
Naam shokuntolaa taar,Film song,Srikanter Will,1979,Bengali,Salil Chowdhury,Salil Chowdhury,Yesudas & Sabita Chowdhury
Akhoni kano jaabey chole,Film song,Byapika Bidaay,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
Ei baagaane phool tolaa mana,Film song,Byapika Bidaay,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Tu ho.n lagaayo najra,Film song,Byapika Bidaay,1980,Bengali,Amritlal Basu,Salil Chowdhury,Shakti Thhakur
Kuaasaa aanchol kholo,Film song,Byapika Bidaay,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
E dhinaak dhinaak dhina,Film song,Byapika Bidaay,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Sontu Mukhopadhyay & Sabita Chowdhury
Taak dum taak dum,Film song,Parabesh,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
Ore mon gun gun,Film song,Parabesh,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Kanaa maachhi bho.n bho.n,Film song,Parabesh,1980,Bengali,Salil Chowdhury,Salil Chowdhury,"Sabita, Antara & Pankaj Mitra"
O ghoomer moyna paakhi,Film song,Parabesh,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Asha Bhonsle
Mone poDe sei sob din,Film song,Antarghaat/Swrnatrishaa,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Kishore
Jaanina jaanina,Film song,Antarghaat/Swrnatrishaa,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Asha Bhonsle
O amaar sojoni go,Film song,Antarghaat/Swrnatrishaa,1980,Bengali,Salil Chowdhury,Salil Chowdhury,Lata & Kishore
Tup taap tup taap bristi poDchhe,Film song,Artap,1982,Bengali,Salil Chowdhury,Salil Chowdhury,Talat Mahmood 
Tumi he maataa pitaa,Film song,Protiggyaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Antara & Chorus
Eki e niyotir nithhur khela,Film song,Protiggyaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Arati Mukherjee & Suresh Wadekar
Path haraabo boley ebaar,Film song,Protiggyaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Yesudas
O mon uthaali pathaali,Film song,Protiggyaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita & Suresh Wadekar
Kono ak boner poshur kathaa,Film song,Protiggyaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Antara & Chorus
Bolo bolo ke tumi,Film song,Protiggyaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Arundhodi Hom-Chowdhury
Title music,Film song,Debikaa,1985,Bengali,Not applicable,Salil Chowdhury,Not applicable
Aar bujhite parinaa,Film song,Debikaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Yesudas
o kan kan kankono,Film song,Debikaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Trisito noyone eso,Film song,Debikaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Sagar Sen & Sabita Chowdhury
Bosey bosey ketey galo,Film song,Debikaa,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Sabita Chowdhury
Tumi binaa aami jano,Film song,Mowchor,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Arati Mukherjee
Rasabhaare dagamaga,Film song,Mowchor,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Anup Ghosal & Chorus
Bhaataar gechhe mou aante,Film song,Mowchor,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Angshuman Roy
Saajaailaam saadh korey,Film song,Mowchor,1985,Bengali,Traditional,Salil Chowdhury,Shakti Thhakur & Chorus
Mukh tolo mukh tolo,Film song,Mowchor,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Shakti Thhakur
Aamaar dukkher seemaa naai,Film song,Mowchor,1985,Bengali,Gouriprasanna Majumdar,Salil Chowdhury,Manna Dey
Nui desham baagham hei.n,Film song,Mowchor,1985,Bengali,Traditional,Traditional,Chorus
Tumi binaa aami jano,Film song,Mowchor,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey & Arati Mukherjee
Megh tui jaa jaa jaa,Film song,Mowchor,1985,Bengali,Salil Chowdhury,Salil Chowdhury,Arati Mukherjee
Sudhu tomaari jonnyo,Film song,Jibon,1986,Bengali,Salil Chowdhury,Salil Chowdhury,Suresh Wadekar
Jaani naa bujhi naa,Film song,Jibon,1986,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
Jodi dupur na hotey sandhya ghanaay,Film song,Jibon,1986,Bengali,Salil Chowdhury,Salil Chowdhury,Bhupinder Singh
Jodi na aaste bhaalobaaste,Film song,Jibon,1986,Bengali,Salil Chowdhury,Salil Chowdhury,Dwijen Mukherjee & Sabita Chowdhury
Peyechhi chhuti bidaay deho bhaai,Film song,Jibon,1986,Bengali,Rabindra Nath Tagore,Salil Chowdhury,Dwijen Mukherjee
Ei sundarboner kahini sonaai sono,Film song,Haraaner Naatjamaai,1991,Bengali,Salil Chowdhury,Salil Chowdhury,Anuradha Paudwal
Hei samaalo hei samaalo,Film song,Haraaner Naatjamaai,1991,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey & Chorus
Aar katokaal balo katokaal,Film song,Haraaner Naatjamaai,1991,Bengali,Salil Chowdhury,Salil Chowdhury,Anuradha Paudwal
Aayre o aayre,Film song,Haraaner Naatjamaai,1991,Bengali,Salil Chowdhury,Salil Chowdhury,"Hemanta Mukherjee, Haimanti Shukla & Raaju Roy"
Tomaar buker khuner chinho khunji,Film song,Haraaner Naatjamaai,1991,Bengali,Salil Chowdhury,Salil Chowdhury,Haimanti Shukla
Ei desh ei desh,Film song,Mahabharoti,1994,Bengali,Salil Chowdhury,Salil Chowdhury,Antara & Chorus
Cholchhe aaj cholbe kaal,Film song,Mahabharoti,1994,Bengali,Salil Chowdhury,Salil Chowdhury,Shibaji Chattopadhyay
Duranto Duranto Jowbon,Film song,Mahabharoti,1994,Bengali,Salil Chowdhury,Salil Chowdhury,Haimanti Shukla
O jibon jibon re,Film song,Mahabharoti,1994,Bengali,Salil Chowdhury,Salil Chowdhury,Purnadas Baul
Akaa akaa sunney,Film song,Sei Somoy,1994,Bengali,Salil Chowdhury,Salil Chowdhury,Asha Bhonsle
Dingalo dingalo,Film song,Sei Somoy,1994,Bengali,Salil Chowdhury,Salil Chowdhury,Asha Bhonsle
Neel Aakaash,Film song,Sei Somoy,1994,Bengali,Salil Chowdhury,Salil Chowdhury,Antara Chowdhury
Karon Akaraner beDa,Film song,Ei Ritur kdin,Unknown,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
Aami rajneetifeetir dhaar dhaarina,Film song,Ei Ritur kdin,Unknown,Bengali,Salil Chowdhury,Salil Chowdhury,Manna Dey
Amaar kichhu moner aasha,Film song,Ei Ritur kdin,Unknown,Bengali,Salil Chowdhury,Salil Chowdhury,Anup Ghosal
,,,,,,,
,,MALAYALAM FILMS,,,,,
,,,,,,,
Title music,Film song,Chemmen,1965,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Pennaley pennaley,Film song,Chemmeen,1965,Malayalam,Vayalar,Salil Chowdhury,Yesudas & P.Leela
Puthan purakkare,Film song,Chemmeen,1965,Malayalam,Vayalar,Salil Chowdhury,"Yesudas,P.Leela,K.P.Udaybhanu,Shantha P.Nair"
Maanasamaine varu,Film song,Chemmeen,1965,Malayalam,Vayalar,Salil Chowdhury,Manna Dey
Kadalinakkara,Film song,Chemmeen,1965,Malayalam,Vayalar,Salil Chowdhury,Yesudas
Title music,Film song,Ezhuraathrikal,1968,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Kakkakurumbikale,Film song,Ezhuraathrikal,1968,Malayalam,Vayalar,Salil Chowdhury,"K.J.Yesudas,Lata,Anto, K.P.Udaybhanu"
Panchameyo,Film song,Ezhuraathrikal,1968,Malayalam,Vayalar,Salil Chowdhury,P.Leela
Kadarumasam,Film song,Ezhuraathrikal,1968,Malayalam,Vayalar,Salil Chowdhury,Yesudas
Rathri Rathri,Film song,Ezhuraathrikal,1968,Malayalam,Vayalar,Salil Chowdhury,P.B.Srinivas
Makkathupoivarum,Film song,Ezhuraathrikal,1968,Malayalam,Vayalar,Salil Chowdhury,Latha Raju
Title music,Film song,Swapnam,1973,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Sowrayudhatil,Film song,Swapnam,1973,Malayalam,ONV Kurup,Salil Chowdhury,Vani Jairam
Neevarukavyadevathe,Film song,Swapnam,1973,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Maane Maane,Film song,Swapnam,1973,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Kamakulile,Film song,Swapnam,1973,Malayalam,ONV Kurup,Salil Chowdhury,S.Janaki
Saarike,Film song,Swapnam,1973,Malayalam,ONV Kurup,Salil Chowdhury,S.Janaki
Title music,Film song,Nellu,1974,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Chemba Chemba,Film song,Nellu,1974,Malayalam,Vayalar,Salil Chowdhury,"P.Jayachandran, Manna Dey"
Kadali Chenkadali,Film song,Nellu,1974,Malayalam,Vayalar,Salil Chowdhury,Lata Mangeshkar
Neela ponmane,Film song,Nellu,1974,Malayalam,Vayalar,Salil Chowdhury,"Yesudas, P.Madhuri"
Kaadu Kuliranu,Film song,Nellu,1974,Malayalam,Vayalar,Salil Chowdhury,P.Susheela
Thaiyam Thaiyam,Film song,Neelaponman,1975,Malayalam,Vayalar,Salil Chowdhury,"P.Susheela, P.Jayachandran"
Kannil,Film song,Neelaponman,1975,Malayalam,Vayalar,Salil Chowdhury,"S.Janaki, B.Vasantha"
Kaadu Karuthakaadu,Film song,Neelaponman,1975,Malayalam,Vayalar,Salil Chowdhury,Yesudas
Poomala Poonkuzhali (Kelu Kelum - part I),Film song,Neelaponman,1975,Malayalam,Vayalar,Salil Chowdhury,S.Janaki
Kelu Kelum - part II,Film song,Neelaponman,1975,Malayalam,Vayalar,Salil Chowdhury,S.Janaki
Dachhin dachhin,Film song,Neelaponman,1975,Malayalam,Unknown,Salil Chowdhury,Unknown
Title music,Film song,Raagam,1975,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Nadanpattile,Film song,Raagam,1975,Malayalam,Vayalar,Salil Chowdhury,Vani Jairam
Omanathinkal,Film song,Raagam,1975,Malayalam,Vayalar,Salil Chowdhury,P.Susheela
Ividekattinu,Film song,Raagam,1975,Malayalam,Vayalar,Salil Chowdhury,"Yesudas, S.Janaki"
Aakaiyyilo,Film song,Raagam,1975,Malayalam,Vayalar,Salil Chowdhury,Yesudas
Ambadipoonkuylle,Film song,Raagam,1975,Malayalam,Vayalar,Salil Chowdhury,P.Susheela
Guruvayurappan,Film song,Raagam,1975,Malayalam,Vayalar,Salil Chowdhury,Yesudas
Oh ! Aayillam Padathe,Film song,Rasaleela,1975,Malayalam,Vayalar,Salil Chowdhury,"Yesudas, Vani Jairam"
Manakkalethathe,Film song,Rasaleela,1975,Malayalam,Vayalar,Salil Chowdhury,Yesudas
Nishasurabhikal,Film song,Rasaleela,1975,Malayalam,Vayalar,Salil Chowdhury,P.Jayachandran
Neeyum Vidhavayo,Film song,Rasaleela,1975,Malayalam,Vayalar,Salil Chowdhury,P.Susheela
Dhoom dhoom tana,Film song,Thomasleeha,1975,Malayalam,Vayalar,Salil Chowdhury,Vani Jairam
Dhukkidhare,Film song,Thomasleeha,1975,Malayalam,Vayalar,Salil Chowdhury,Yesudas
Vrischikapenne,Film song,Thomasleeha,1975,Malayalam,Vayalar,Salil Chowdhury,Yesudas & Sabita Chowdhury
Ormagale,Film song,Prateekshaa,1975,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Nerukayil nethottu,Film song,Prateekshaa,1975,Malayalam,ONV Kurup,Salil Chowdhury,S.Janaki
aathira poovaniyum,Film song,Prateekshaa,1975,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Kochu kochu sapnamgal,Film song,Prateekshaa,1975,Malayalam,ONV Kurup,Salil Chowdhury,S. Janaki
Maa malayile,Film song,Aparadhi,1976,Malayalam,P.Bhaskaran,Salil Chowdhury,"Vani Jairam, Jolly Abraham & others"
Nanma nerum amma,Film song,Aparadhi,1976,Malayalam,P.Bhaskaran,Salil Chowdhury,"Baby Sujatha, Sujith & others"
Muralee bhara,Film song,Aparadhi,1976,Malayalam,P.Bhaskaran,Salil Chowdhury,S.Janaki & Chorus
Thumbi thumbi,Film song,Aparadhi,1976,Malayalam,P.Bhaskaran,Salil Chowdhury,"Ambili, Baby Sujatha"
Title music,Film song,Thulavarsham,1976,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Swapnadanam,Film song,Thulavarsham,1976,Malayalam,Chovallur Krishnakutty,Salil Chowdhury,S.Janaki
Kelinalinum,Film song,Thulavarsham,1976,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Yemune Ozhuku,Film song,Thulavarsham,1976,Malayalam,ONV Kurup,Salil Chowdhury,"Yesudas, S.Janaki"
Music last scene,Film song,Thulavarsham,1976,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Title music,Film song,Samayamayillapolum,1977,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Shyamameghame,Film song,Samayamayillapolum,1977,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Onnam Thumbi,Film song,Samayamayillapolum,1977,Malayalam,ONV Kurup,Salil Chowdhury,P.Susheela
Mayilukalaadum,Film song,Samayamayillapolum,1977,Malayalam,ONV Kurup,Salil Chowdhury,"Yesudas, Sabita Chowdhury"
Devi Devi,Film song,Samayamayillapolum,1977,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Backdround Music ,Film song,Samayamayillapolum,1977,Malayalam,ONV Kurup,Salil Chowdhury,Not applicable
Title music,Film song,Etho Oru Swapnam,1977,Malayalam,not applicable,Salil Chowdhury,Not applicable
Sreepadam,Film song,Etho Oru Swapnam,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Yesudas
Poomanam,Film song,Etho Oru Swapnam,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Yesudas
Orumukham Mathram,Film song,Etho Oru Swapnam,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Yesudas
Pooniranjal,Film song,Etho Oru Swapnam,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Yesudas
Orumukham Mathram,Film song,Etho Oru Swapnam,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Sabita Chowdhury
Title music,Film song,Madanolsavam,1977,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Sandhye,Film song,Madanolsavam,1977,Malayalam,ONV Kurup,Salil Chowdhury,S. Janaki
Mele Poomala,Film song,Madanolsavam,1977,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas & Sabita Chowdhury
Neemaayum Nilavinde,Film song,Madanolsavam,1977,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Madapraveva,Film song,Madanolsavam,1977,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas & Chorus
Sagarame,Film song,Madanolsavam,1977,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Eemalarkayakal,Film song,Madanolsavam,1977,Malayalam,ONV Kurup,Salil Chowdhury,S.Janaki & Chorus
Title music,Film song,Vishukkani,1977,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Malarkodipole,Film song,Vishukkani,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Yesudas
Malarkodipole,Film song,Vishukkani,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,S.Janaki
Rappadi paadunna,Film song,Vishukkani,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,P.Susheela
Poovili Poovili,Film song,Vishukkani,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Yesudas
Unnusasin,Film song,Vishukkani,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,P.Jayachandran
Munnottu munnottu,Film song,Vishukkani,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Yesudas & Chorus
Kannil Poovu,Film song,Vishukkani,1977,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Vani Jairam
Ponnalayil,Film song,Devdasi,1978,Malayalam,ONV Kurup,Salil Chowdhury,"Yesudas, Vani Jairam & Chorus"
Padarenu,Film song,Devdasi,1978,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Manaseswari,Film song,Devdasi,1978,Malayalam,ONV Kurup,Salil Chowdhury,S.Janaki
Orunaal,Film song,Devdasi,1978,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Varu varu,Film song,Devdasi,1978,Malayalam,ONV Kurup,Salil Chowdhury,S.Janaki
ini varu,Film song,Devdasi,1978,Malayalam,ONV Kurup,Salil Chowdhury,Sabita Chowdhury
Title music,Film song,Ee Ganam Marakkuno,1979,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Onappoove,Film song,Ee Ganam Marakkuno,1979,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Kurumozhimullappoove,Film song,Ee Ganam Marakkuno,1979,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas & Vani Jairam
Raakkuyille Urangu,Film song,Ee Ganam Marakkuno,1979,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas & Sabita Chowdhury
Kalakalam,Film song,Ee Ganam Marakkuno,1979,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Ee kaikalil,Film song,Ee Ganam Marakkuno,1979,Malayalam,ONV Kurup,Salil Chowdhury,S.Janaki
Neeyorumal,Film song,Chuvanna Chirakkukal,1979,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Yamini devi,Film song,Chuvanna Chirakkukal,1979,Malayalam,ONV Kurup,Salil Chowdhury,S.Janaki
 Parannupoy nee,Film song,Chuvanna Chirakkukal,1979,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Bhoomi nandini,Film song,Chuvanna Chirakkukal,1979,Malayalam,ONV Kurup,Salil Chowdhury,S.Janaki
Title music,Film song,Puthiya Velicham,1979,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Manassenim ponnambalam,Film song,Puthiya Velicham,1979,Malayalam,Sreekumaran Thampi,Salil Chowdhury,S.Janaki
Chuvanna pottum,Film song,Puthiya Velicham,1979,Malayalam,Sreekumaran Thampi,Salil Chowdhury,P.Susheela & Chorus
Jil jil jil,Film song,Puthiya Velicham,1979,Malayalam,Sreekumaran Thampi,Salil Chowdhury,P. Susheela & P.Jayachandran
Aarattu kadavil,Film song,Puthiya Velicham,1979,Malayalam,Sreekumaran Thampi,Salil Chowdhury,P. Jayachandran
Poevirinjallo,Film song,Puthiya Velicham,1979,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Yesudas
Aararo,Film song,Puthiya Velicham,1979,Malayalam,Sreekumaran Thampi,Salil Chowdhury,Ambili
Title music ,Film song,Air Hostess,1980,Malayalam,Not applicable,Salil Chowdhury,Not applicable
Onnanam kunnin,Film song,Air Hostess,1980,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Unaru unaru,Film song,Air Hostess,1980,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas & Vani Jairam
Allimalarkkairl,Film song,Anthiveylille Ponnu,1982,Malayalam,ONV Kurup,Salil Chowdhury,S. Janaki
Bhoomithan samgeetham,Film song,Anthiveylille Ponnu,1982,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas & Sabita Chowdhury
Shravanam vannu(fast),Film song,Anthiveylille Ponnu,1982,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Shravanam vannu(slow),Film song,Anthiveylille Ponnu,1982,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Yamam mohana yamam,Film song,Thamburan,1992,Malayalam,Kaithapram,Salil Chowdhury,Yesudas & Antara Chowdhury
 Madhuvanam poothu orungi,Film song,Thamburan,1992,Malayalam,Kaithapram,Salil Chowdhury,Yesudas
Rajani unnaru sruthiyil nirayu,Film song,Thamburan,1992,Malayalam,Kaithapram,Salil Chowdhury,Yesudas
Manju thullikal,Film song,Thamburan,1992,Malayalam,Kaithapram,Salil Chowdhury,Sunanda
Title music,Film song,"Thumboli Kadappuram
",1994,Malayalam,Not applicable,Salil Chowdhury,Not applicable
 Kaathil,Film song,"Thumboli Kadappuram
",1994,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
 Etharo,Film song,"Thumboli Kadappuram
",1994,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Olangale,Film song,"Thumboli Kadappuram
",1994,Malayalam,ONV Kurup,Salil Chowdhury,K.S. Chitra
Varavelkayaa,Film song,"Thumboli Kadappuram
",1994,Malayalam,ONV Kurup,Salil Chowdhury,Yesudas
Kaathil ,Film song,"Thumboli Kadappuram
",1994,Malayalam,ONV Kurup,Salil Chowdhury,K.S.Chitra
, ,,,,,,
, ,TAMIL FILMS,,,,,
, ,,,,,,
Kanne Kanmariye,Film song,Karumbu,1973,Malyalam,Traditional,Salil Chowdhury,Mrs. Salil Chowdhury
Thingal malai,Film song,Karumbu,1973,Malyalam,Sitapathikaram,Salil Chowdhury,Yesudas
Thingal malai,Film song,Karumbu,1973,Malyalam,Sitapathikaram,Salil Chowdhury,P.Susheela
Madappurave vaa,Film song,Paruvamazhai,1978,Malyalam,Kannadasan,Salil Chowdhury,Yesudas
Ange senkadir,Film song,Paruvamazhai,1978,Malyalam,Kannadasan,Salil Chowdhury,S.Janaki
Thenmalar Kannikal,Film song,Paruvamazhai,1978,Malyalam,Kannadasan,Salil Chowdhury,S.Janaki
Kalamagal medai nadakam,Film song,Paruvamazhai,1978,Malyalam,Kannadasan,Salil Chowdhury,Yesudas
Kaadal sangame,Film song,Paruvamazhai,1978,Malyalam,Kannadasan,Salil Chowdhury,"Yesudas, S.Janaki"
Nee theeyum,Film song,Paruvamazhai,1978,Malyalam,Kannadasan,Salil Chowdhury,Yesudas
Poovannam,Film song,Azhiyata Kollangal,1979,Malyalam,Gangai Amaran,Salil Chowdhury,"P.Susheela, P.Jayachandran"
Kedacha unakku,Film song,Azhiyata Kollangal,1979,Malyalam,Gangai Amaran,Salil Chowdhury,S.Janaki
Naan ennum,Film song,Azhiyata Kollangal,1979,Malyalam,Gangai Amaran,Salil Chowdhury,S.P.Balasubramaniam
Poovanam(slow),Film song,Azhiyata Kollangal,1979,Malyalam,Gangai Amaran,Salil Chowdhury,P.Susheela
Valai Endhi Kolvam,Film song,Thooratthu Idi muzhakkam,1980,Malyalam,Ku. Ma. Pa,Salil Chowdhury,"S.P.Bala, P.Susheela & Chorus"
Ullamellam  Thalladuthe,Film song,Thooratthu Idi muzhakkam,1980,Malyalam,Ku. Ma. Pa,Salil Chowdhury,"Yesudas, S.Janaki"
Sevvalli Poove,Film song,Thooratthu Idi muzhakkam,1980,Malyalam,Ku. Ma. Pa,Salil Chowdhury,S.Janaki
Mani Vilakkal ! Amma!,Film song,Thooratthu Idi muzhakkam,1980,Malyalam,Ku. Ma. Pa,Salil Chowdhury,Yesudas
There is rainbow in the distant sky,Film song,Thooratthu Idi muzhakkam,1980,Malyalam,Salil Chowdhury,Salil Chowdhury,"Jayachandran,Sherine,Mrs. Salil Chowdhury, D. Ravi & Chorus"
,,,,,,,
, ,TELUGU FILM,,,,,
, ,,,,,,
Nayanalu kalise toli saari,Film song,Chairman Chalamaiyya,1974,Telugu,Arudra,Salil Chowdhury,"P.Susheela, S.P.Balasubramaniam"
Tikku takku basti pillalam,Film song,Chairman Chalamaiyya,1974,Telugu,Arudra,Salil Chowdhury,"P.Susheela, S.P.Balasubramaniam"
yesko bullemma,Film song,Chairman Chalamaiyya,1974,Telugu,Kosaraju,Salil Chowdhury,"P.Susheela, S.P.Balasubramaniam"
Haayi haayi entha haayi,Film song,Chairman Chalamaiyya,1974,Telugu,Arudra,Salil Chowdhury,"P.Susheela, Ramakrishna"
Hello chairman garu,Film song,Chairman Chalamaiyya,1974,Telugu,Arudra,Salil Chowdhury,P.Susheela
,,,,,,,
, ,KANNADA FILMS,,,,,
, ,,,,,,
Dooradinda bandhantha,Film song,Samsayaphala,1971,Kannada,Ku.Ra.Seetharama Shastry,Salil Chowdhury,L.R.Eswari
Edegunee doorada,Film song,Samsayaphala,1971,Kannada,Ku.Ra.Seetharama Shastry,Salil Chowdhury,L.R.Eswari
Kuniyutha jhanana jhana,Film song,Samsayaphala,1971,Kannada,Ku.Ra.Seetharama Shastry,Salil Chowdhury,P. Susheela
Tharunnyaa thumbi,Film song,Samsayaphala,1971,Kannada,Ku.Ra.Seetharama Shastry,Salil Chowdhury,L.R.Eswari & Chorus
Harushaa dooradaa,Film song,Samsayaphala,1971,Kannada,Ku.Ra.Seetharama Shastry,Salil Chowdhury,P.Susheela
Premaa Virinchiya,Film song,Samsayaphala,1971,Kannada,Ku.Ra.Seetharama Shastry,Salil Chowdhury,"P.B.Srinivas, Sabita Chowdhury"
gum gum gungeruwanthe,Film song,Onde Rupa Eradu Guna,1975,Kannada,Ku.Ra.Seetharama Shastry,Salil Chowdhury,"S.P.Balasubramaniam, Mohan"
udala sarala,Film song,Onde Rupa Eradu Guna,1975,Kannada,Ku.Ra.Seetharama Shastry,Salil Chowdhury,"Mohan, S.Janaki"
jila jila nendu,Film song,Onde Rupa Eradu Guna,1975,Kannada,R.N.Jayagopal,Salil Chowdhury,"S.P.Balasubramaniam, P. Susheela"
pa pa ma ga re sa,Film song,Onde Rupa Eradu Guna,1975,Kannada,R.N.Jayagopal,Salil Chowdhury,"S.P.Balasubramaniam, P. Susheela"
baa baliya li,Film song,Onde Rupa Eradu Guna,1975,Kannada,R.N.Jayagopal,Salil Chowdhury,S. Janaki
Naane raja naane rani,Film song,Chinna Ninna Muddaduve,1977,Kannada,Udayshankar,Salil Chowdhury,"Sowmitri, L.R.Anajali & Chorus"
Dehakke usire,Film song,Chinna Ninna Muddaduve,1977,Kannada,R.N.Jayagopal,Salil Chowdhury,"S.P.Badasab, Anita Chowdhury"
